ADM2_PCODE,RDHS,January,February,March,April,May,June,July,August,September,October,November,December,Total Cases
LK11,Colombo,8,8,9,12,14,35,26,21,31,34,0,0,198
LK12,Gampaha,10,2,11,15,13,30,20,27,73,40,0,0,241
LK13,Kalutara,37,17,27,28,35,42,53,44,68,51,0,0,402
LK21,Kandy,14,4,3,5,25,21,31,15,25,19,0,0,162
LK22,Matale,7,5,2,9,16,21,14,2,9,12,0,0,97
LK23,Nuwara Eliya,4,5,7,3,1,13,18,9,16,11,0,0,87
LK31,Galle,52,30,24,29,33,62,42,35,62,76,0,0,445
LK33,Hambantota,14,14,15,18,17,29,48,33,11,25,0,0,224
LK32,Matara,15,12,13,18,39,35,32,21,37,34,0,0,256
LK41,Jaffna,7,4,4,3,0,0,1,1,1,3,0,0,24
LK45,Kilinochchi,1,0,0,1,8,1,0,0,0,0,0,0,11
LK42,Mannar,3,4,1,3,1,3,3,5,2,2,0,0,27
LK43,Vavuniya,1,0,2,9,2,0,1,2,1,0,0,0,18
LK44,Mulativu,5,2,2,3,8,1,3,2,0,1,0,0,27
LK51,Batticaloa,4,5,3,3,10,2,2,7,2,3,0,0,41
LK52,Ampara,14,5,5,10,18,19,7,8,7,3,0,0,96
LK53,Trincomalee,3,1,2,6,4,4,2,3,3,5,0,0,33
LK61,Kurunegala,16,7,2,8,27,23,16,17,18,12,0,0,146
LK62,Puttalam,5,1,1,0,2,5,5,1,7,10,0,0,37
LK71,Anuradhapura,37,17,15,14,19,14,13,16,10,7,0,0,162
LK72,Polonnaruwa,27,6,4,9,4,15,25,3,11,4,0,0,108
LK81,Badulla,29,16,16,23,19,7,29,28,57,20,0,0,244
LK82,Moneragala,50,22,17,36,33,37,18,18,15,9,0,0,255
LK91,Ratnapura,108,47,37,54,114,135,141,91,109,80,0,0,916
LK92,Kegalle,70,12,30,37,46,93,51,38,76,33,0,0,486
